"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 00:00","2020","11","01","00:00","2.9","","-1.1","","75","","0.0","","18","","30","","","","97.31","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 01:00","2020","11","01","01:00","3.5","","-1.5","","70","","0.0","","18","","39","","","","97.15","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 02:00","2020","11","01","02:00","3.7","","-0.6","","74","","0.0","","20","","41","","","","97.08","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 03:00","2020","11","01","03:00","3.9","","0.1","","76","","0.0","","19","","39","","","","97.00","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 04:00","2020","11","01","04:00","3.9","","0.6","","79","","0.0","","19","","39","","","","96.85","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 05:00","2020","11","01","05:00","3.8","","1.8","","87","","0.0","","18","","30","","","","96.64","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 06:00","2020","11","01","06:00","3.8","","2.7","","92","","1.4","","17","","31","","","","96.45","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 07:00","2020","11","01","07:00","4.1","","3.5","","96","","1.0","","17","","30","","","","96.24","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 08:00","2020","11","01","08:00","4.3","","3.8","","96","","0.9","","17","","26","","","","96.03","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 09:00","2020","11","01","09:00","4.5","","4.3","","98","","2.0","","17","","23","","","","95.86","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 10:00","2020","11","01","10:00","5.8","","5.5","","98","","4.4","","19","","28","","","","95.72","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 11:00","2020","11","01","11:00","6.0","","5.5","","97","","3.5","","20","","27","","","","95.58","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 12:00","2020","11","01","12:00","5.8","","5.3","","97","","3.1","","19","","22","","","","95.43","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 13:00","2020","11","01","13:00","5.9","","5.6","","98","","1.8","","19","","21","","","","95.36","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 14:00","2020","11","01","14:00","1.7","","1.0","","95","","0.9","","28","","18","","","","95.52","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 15:00","2020","11","01","15:00","1.7","","0.9","","94","","0.3","","27","","14","","","","95.59","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-11-01 16:00","2020","11","01","16:00","3.6","","0.9","","82","","0.0","","29","","18","","","","95.60","","","","","","NA"
