"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 00:00","2020","03","01","00:00","-9.3","","-20.2","","41","","0.0","","32","","5","","","","97.18","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 01:00","2020","03","01","01:00","-12.7","","-20.5","","52","","0.0","","31","","3","","","","97.21","","","","-15","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 02:00","2020","03","01","02:00","-12.6","","-19.4","","57","","0.0","","27","","4","","","","97.24","","","","-15","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 03:00","2020","03","01","03:00","-15.9","","-20.8","","66","","0.0","","26","","3","","","","97.28","","","","-18","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 04:00","2020","03","01","04:00","-13.7","","-19.6","","61","","0.0","","28","","7","","","","97.30","","","","-18","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 05:00","2020","03","01","05:00","-14.4","","-20.1","","62","","0.0","","27","","8","","","","97.32","","","","-20","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 06:00","2020","03","01","06:00","-14.6","","-19.3","","67","","0.0","","28","","8","","","","97.36","","","","-20","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 07:00","2020","03","01","07:00","-15.1","","-19.4","","70","","0.0","","28","","8","","","","97.36","","","","-20","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 08:00","2020","03","01","08:00","-16.4","","-20.6","","70","","0.0","","29","","9","","","","97.38","","","","-22","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 09:00","2020","03","01","09:00","-16.3","","-19.8","","74","","0.0","","27","","8","","","","97.40","","","","-22","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 10:00","2020","03","01","10:00","-16.5","","-19.3","","79","","0.0","","27","","9","","","","97.41","","","","-23","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 11:00","2020","03","01","11:00","-16.0","","-18.3","","83","","0.0","","24","","7","","","","97.44","","","","-21","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 12:00","2020","03","01","12:00","-18.8","","-21.5","","79","","0.0","","27","","7","","","","97.44","","","","-24","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 13:00","2020","03","01","13:00","-15.8","","-19.2","","75","","0.0","","","","0","","","","97.43","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 14:00","2020","03","01","14:00","-13.2","","-18.9","","62","","0.0","","18","","6","","","","97.42","","","","-17","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 15:00","2020","03","01","15:00","-10.3","","-16.7","","60","","0.0","","17","","13","","","","97.39","","","","-17","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 16:00","2020","03","01","16:00","-8.4","","-15.8","","55","","0.0","","16","","12","","","","97.36","","","","-14","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 17:00","2020","03","01","17:00","-5.2","","-13.1","","54","","0.0","","16","","16","","","","97.31","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 18:00","2020","03","01","18:00","-3.5","","-10.4","","59","","0.0","","17","","21","","","","97.22","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 19:00","2020","03","01","19:00","-2.4","","-8.6","","63","","0.0","","18","","21","","","","97.14","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 20:00","2020","03","01","20:00","-1.8","","-8.0","","62","","0.0","","17","","26","","","","97.05","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 21:00","2020","03","01","21:00","-1.6","","-8.2","","61","","0.0","","17","","27","","","","96.92","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 22:00","2020","03","01","22:00","-1.4","","-8.2","","60","","0.0","","17","","22","","","","96.85","","","","-7","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-01 23:00","2020","03","01","23:00","-1.5","","-9.2","","56","","0.0","","16","","22","","","","96.76","","","","-7","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 00:00","2020","03","02","00:00","-1.6","","-9.6","","54","","0.0","","14","","22","","","","96.61","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 01:00","2020","03","02","01:00","-2.7","","-9.7","","58","","0.0","","16","","19","","","","96.58","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 02:00","2020","03","02","02:00","-3.4","","-9.1","","64","","0.0","","16","","20","","","","96.51","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 03:00","2020","03","02","03:00","-4.0","","-8.3","","72","","0.0","","17","","22","","","","96.43","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 04:00","2020","03","02","04:00","-3.8","","-8.0","","73","","0.0","","17","","19","","","","96.33","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 05:00","2020","03","02","05:00","-4.9","","-8.8","","74","","0.0","","16","","17","","","","96.21","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 06:00","2020","03","02","06:00","-5.3","","-8.7","","77","","0.0","","16","","16","","","","96.08","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 07:00","2020","03","02","07:00","-5.1","","-8.5","","77","","0.0","","16","","18","","","","95.99","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 08:00","2020","03","02","08:00","-5.8","","-8.8","","80","","0.0","","17","","12","","","","95.91","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 09:00","2020","03","02","09:00","-5.4","","-8.3","","80","","0.0","","17","","8","","","","95.84","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 10:00","2020","03","02","10:00","-5.1","","-7.3","","84","","0.0","","15","","16","","","","95.80","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 11:00","2020","03","02","11:00","-4.4","","-5.7","","90","","0.0","","18","","14","","","","95.81","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 12:00","2020","03","02","12:00","-3.7","","-4.2","","96","","0.0","","20","","12","","","","95.79","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 13:00","2020","03","02","13:00","-3.4","","-3.9","","97","","0.0","","22","","16","","","","95.79","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 14:00","2020","03","02","14:00","-2.5","","-3.1","","96","","0.0","","24","","9","","","","95.85","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 15:00","2020","03","02","15:00","-1.4","","-2.4","","93","","0.0","","23","","9","","","","95.87","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 16:00","2020","03","02","16:00","1.5","","-4.0","","67","","0.0","","27","","16","","","","95.84","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 17:00","2020","03","02","17:00","1.9","","-3.8","","66","","0.0","","25","","20","","","","95.83","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 18:00","2020","03","02","18:00","2.5","","-4.2","","61","","0.0","","25","","21","","","","95.77","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 19:00","2020","03","02","19:00","3.2","","-4.9","","55","","0.0","","25","","20","","","","95.73","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 20:00","2020","03","02","20:00","3.3","","-5.1","","54","","0.0","","23","","24","","","","95.71","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 21:00","2020","03","02","21:00","3.4","","-4.6","","56","","0.0","","22","","22","","","","95.74","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 22:00","2020","03","02","22:00","3.6","","-4.8","","54","","0.0","","23","","20","","","","95.77","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-02 23:00","2020","03","02","23:00","2.8","","-6.1","","52","","0.0","","26","","14","","","","95.87","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 00:00","2020","03","03","00:00","0.0","","-6.7","","61","","0.0","","24","","12","","","","95.95","","","","-4","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 01:00","2020","03","03","01:00","-0.3","","-6.4","","63","","0.0","","25","","16","","","","96.03","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 02:00","2020","03","03","02:00","-1.7","","-6.9","","68","","0.0","","26","","14","","","","96.08","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 03:00","2020","03","03","03:00","-3.5","","-7.8","","72","","0.0","","28","","6","","","","96.14","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 04:00","2020","03","03","04:00","-4.4","","-8.0","","76","","0.0","","26","","7","","","","96.17","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 05:00","2020","03","03","05:00","-5.5","","-8.4","","80","","0.0","","23","","5","","","","96.19","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 06:00","2020","03","03","06:00","-7.6","","-9.8","","84","","0.0","","22","","6","","","","96.19","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 07:00","2020","03","03","07:00","-7.8","","-9.1","","90","","0.0","","23","","7","","","","96.21","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 08:00","2020","03","03","08:00","-7.9","","-9.3","","89","","0.0","","23","","5","","","","96.22","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 09:00","2020","03","03","09:00","-9.4","","-10.2","","94","","0.0","","23","","6","","","","96.17","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 10:00","2020","03","03","10:00","-9.6","","-10.5","","93","","0.0","","20","","5","","","","96.12","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 11:00","2020","03","03","11:00","-9.7","","-10.4","","94","","0.0","","22","","4","","","","96.11","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 12:00","2020","03","03","12:00","-7.8","","-9.2","","90","","0.0","","17","","5","","","","96.07","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 13:00","2020","03","03","13:00","-7.4","","-9.4","","86","","0.0","","15","","12","","","","96.11","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 14:00","2020","03","03","14:00","-5.8","","-8.6","","80","","0.0","","15","","12","","","","96.07","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-03-03 15:00","2020","03","03","15:00","-3.6","","-8.3","","70","","0.0","","14","","17","","","","96.02","","","","-9","","NA"
