"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 00:00","2020","05","01","00:00","4.9","","3.5","","91","","0.0","","35","","16","","","","96.46","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 01:00","2020","05","01","01:00","4.2","","3.4","","95","","0.0","","36","","13","","","","96.51","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 02:00","2020","05","01","02:00","3.9","","3.1","","94","","0.0","","35","","12","","","","96.57","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 03:00","2020","05","01","03:00","3.0","","1.8","","92","","0.0","","35","","20","","","","96.61","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 04:00","2020","05","01","04:00","2.6","","1.7","","94","","0.0","","36","","15","","","","96.65","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 05:00","2020","05","01","05:00","2.6","","1.8","","94","","0.0","","36","","15","","","","96.69","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 06:00","2020","05","01","06:00","2.6","","1.7","","93","","0.0","","36","","19","","","","96.74","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 07:00","2020","05","01","07:00","2.7","","1.9","","94","","0.0","","36","","14","","","","96.77","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 08:00","2020","05","01","08:00","2.8","","1.7","","92","","0.0","","1","","16","","","","96.83","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 09:00","2020","05","01","09:00","2.6","","1.3","","92","","0.0","","36","","13","","","","96.88","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 10:00","2020","05","01","10:00","2.3","","1.3","","93","","0.0","","1","","12","","","","96.92","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 11:00","2020","05","01","11:00","1.9","","1.2","","95","","0.0","","1","","12","","","","96.98","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 12:00","2020","05","01","12:00","2.5","","1.3","","92","","0.0","","1","","13","","","","97.06","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 13:00","2020","05","01","13:00","4.0","","1.9","","86","","0.0","","2","","11","","","","97.08","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 14:00","2020","05","01","14:00","5.5","","2.2","","79","","0.0","","6","","11","","","","97.14","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 15:00","2020","05","01","15:00","9.3","","1.8","","60","","0.0","","2","","7","","","","97.14","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 16:00","2020","05","01","16:00","11.5","","1.4","","50","","0.0","","1","","9","","","","97.15","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 17:00","2020","05","01","17:00","13.9","","0.7","","40","","0.0","","36","","11","","","","97.11","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-05-01 18:00","2020","05","01","18:00","15.9","","0.6","","35","","0.0","","30","","11","","","","97.08","","","","","","NA"
