"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 00:00","2020","06","01","00:00","9.5","","5.3","","75","","0.0","","24","","10","","","","97.93","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 01:00","2020","06","01","01:00","8.1","","5.5","","84","","0.0","","24","","4","","","","97.94","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 02:00","2020","06","01","02:00","6.4","","5.3","","92","","0.0","","23","","10","","","","98.00","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 03:00","2020","06","01","03:00","5.6","","5.1","","96","","0.0","","23","","9","","","","98.01","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 04:00","2020","06","01","04:00","5.5","","5.2","","98","","0.0","","24","","10","","","","97.98","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 05:00","2020","06","01","05:00","5.3","","4.9","","98","","0.0","","26","","6","","","","97.98","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 06:00","2020","06","01","06:00","5.0","","4.4","","96","","0.0","","24","","8","","","","97.93","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 07:00","2020","06","01","07:00","5.0","","4.7","","98","","0.0","","24","","10","","","","97.94","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 08:00","2020","06","01","08:00","4.4","","4.1","","98","","0.0","","23","","9","","","","97.93","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 09:00","2020","06","01","09:00","4.9","","4.7","","99","","0.0","","24","","5","","","","97.93","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 10:00","2020","06","01","10:00","6.4","","5.5","","94","","0.0","","22","","15","","","","97.88","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 11:00","2020","06","01","11:00","6.8","","5.8","","93","","0.0","","25","","2","","","","97.88","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 12:00","2020","06","01","12:00","7.8","","6.4","","91","","0.0","","22","","12","","","","97.83","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 13:00","2020","06","01","13:00","10.3","","5.8","","73","","0.0","","23","","18","","","","97.77","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 14:00","2020","06","01","14:00","13.4","","6.2","","62","","0.0","","24","","18","","","","97.71","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 15:00","2020","06","01","15:00","16.1","","4.9","","47","","0.0","","25","","21","","","","97.66","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 16:00","2020","06","01","16:00","18.6","","4.2","","39","","0.0","","27","","22","","","","97.59","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 17:00","2020","06","01","17:00","20.7","","4.9","","35","","0.0","","29","","11","","","","97.54","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 18:00","2020","06","01","18:00","20.4","","3.9","","34","","0.0","","29","","15","","","","97.51","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 19:00","2020","06","01","19:00","21.7","","2.8","","29","","0.0","","29","","19","","","","97.46","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 20:00","2020","06","01","20:00","22.2","","4.4","","31","","0.0","","30","","11","","","","97.42","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 21:00","2020","06","01","21:00","22.7","","5.4","","32","","0.0","","30","","10","","","","97.38","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 22:00","2020","06","01","22:00","20.2","","7.7","","44","","0.0","","23","","15","","","","97.36","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-01 23:00","2020","06","01","23:00","19.5","","5.4","","40","","0.0","","23","","20","","","","97.33","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-02 00:00","2020","06","02","00:00","18.2","","5.5","","43","","0.0","","23","","16","","","","97.34","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-02 01:00","2020","06","02","01:00","16.1","","6.6","","53","","0.0","","22","","12","","","","97.32","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-02 02:00","2020","06","02","02:00","15.2","","7.2","","59","","0.0","","20","","12","","","","97.34","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-02 03:00","2020","06","02","03:00","14.9","","7.0","","59","","0.0","","21","","11","","","","97.30","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-02 04:00","2020","06","02","04:00","14.9","","7.1","","60","","0.0","","22","","12","","","","97.26","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-06-02 05:00","2020","06","02","05:00","13.6","","7.9","","68","","0.0","","21","","8","","","","97.22","","","","","","NA"
