"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 00:00","2020","12","01","00:00","-4.6","","-7.3","","81","","0.0","","1","","29","","","","96.58","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 01:00","2020","12","01","01:00","-4.8","","-7.2","","83","","0.0","","1","","34","","","","96.58","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 02:00","2020","12","01","02:00","-4.8","","-7.0","","84","","0.0","","1","","31","","","","96.56","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 03:00","2020","12","01","03:00","-4.7","","-6.9","","84","","0.0","","1","","30","","","","96.53","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 04:00","2020","12","01","04:00","-4.7","","-6.9","","85","","0.0","","1","","28","","","","96.52","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 05:00","2020","12","01","05:00","-5.2","","-7.1","","86","","0.0","","1","","28","","","","96.49","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 06:00","2020","12","01","06:00","-5.1","","-6.9","","87","","0.0","","1","","25","","","","96.49","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 07:00","2020","12","01","07:00","-4.8","","-6.8","","86","","0.0","","1","","25","","","","96.47","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 08:00","2020","12","01","08:00","-4.5","","-6.6","","85","","0.0","","1","","32","","","","96.44","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 09:00","2020","12","01","09:00","-4.6","","-6.7","","85","","0.0","","1","","30","","","","96.38","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 10:00","2020","12","01","10:00","-4.5","","-6.6","","85","","0.0","","1","","32","","","","96.38","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 11:00","2020","12","01","11:00","-4.3","","-6.6","","84","","0.0","","1","","33","","","","96.42","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 12:00","2020","12","01","12:00","-4.0","","-6.5","","83","","0.0","","1","","35","","","","96.42","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 13:00","2020","12","01","13:00","-4.2","","-7.5","","78","","0.0","","1","","30","","","","96.42","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 14:00","2020","12","01","14:00","-4.7","","-8.6","","74","","0.0","","1","","34","","","","96.37","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 15:00","2020","12","01","15:00","-4.8","","-9.3","","71","","0.0","","1","","34","","","","96.38","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 16:00","2020","12","01","16:00","-4.1","","-8.6","","71","","0.0","","1","","34","","","","96.36","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 17:00","2020","12","01","17:00","-3.5","","-8.3","","69","","0.0","","2","","33","","","","96.39","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 18:00","2020","12","01","18:00","-3.2","","-8.6","","66","","0.0","","1","","36","","","","96.33","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 19:00","2020","12","01","19:00","-2.8","","-8.7","","64","","0.0","","1","","37","","","","96.24","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 20:00","2020","12","01","20:00","-3.1","","-8.7","","65","","0.0","","1","","36","","","","96.28","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 21:00","2020","12","01","21:00","-3.7","","-8.9","","67","","0.0","","36","","36","","","","96.31","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 22:00","2020","12","01","22:00","-4.5","","-9.0","","71","","0.0","","36","","31","","","","96.29","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-01 23:00","2020","12","01","23:00","-4.8","","-8.9","","73","","0.0","","1","","35","","","","96.40","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 00:00","2020","12","02","00:00","-4.9","","-8.8","","74","","0.0","","36","","26","","","","96.42","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 01:00","2020","12","02","01:00","-5.4","","-8.3","","80","","0.0","","35","","29","","","","96.40","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 02:00","2020","12","02","02:00","-5.2","","-8.9","","75","","0.0","","36","","31","","","","96.38","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 03:00","2020","12","02","03:00","-5.4","","-9.1","","75","","0.0","","36","","26","","","","96.43","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 04:00","2020","12","02","04:00","-5.4","","-9.1","","76","","0.0","","35","","25","","","","96.45","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 05:00","2020","12","02","05:00","-5.8","","-9.4","","75","","0.0","","36","","24","","","","96.51","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 06:00","2020","12","02","06:00","-6.1","","-9.7","","75","","0.0","","36","","25","","","","96.59","","","","-14","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 07:00","2020","12","02","07:00","-6.6","","-10.4","","74","","0.0","","34","","22","","","","96.58","","","","-14","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 08:00","2020","12","02","08:00","-6.7","","-10.8","","73","","0.0","","35","","20","","","","96.62","","","","-14","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 09:00","2020","12","02","09:00","-7.2","","-12.5","","66","","0.0","","33","","17","","","","96.65","","","","-14","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 10:00","2020","12","02","10:00","-7.5","","-13.2","","64","","0.0","","32","","19","","","","96.66","","","","-15","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-12-02 11:00","2020","12","02","11:00","-7.4","","-13.6","","61","","0.0","","34","","12","","","","96.69","","","","-13","","NA"
