"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 00:00","2020","02","01","00:00","-5.5","","-6.2","","95","","0.0","","17","","12","","","","97.66","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 01:00","2020","02","01","01:00","-4.7","","-5.3","","96","","0.2","","18","","12","","","","97.66","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 02:00","2020","02","01","02:00","-4.6","","-5.2","","96","","0.0","","16","","17","","","","97.61","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 03:00","2020","02","01","03:00","-4.4","","-4.9","","96","","0.0","","18","","17","","","","97.56","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 04:00","2020","02","01","04:00","-4.2","","-4.8","","96","","0.0","","18","","15","","","","97.46","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 05:00","2020","02","01","05:00","-3.9","","-4.4","","96","","0.0","","20","","13","","","","97.39","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 06:00","2020","02","01","06:00","-3.5","","-4.0","","96","","0.0","","19","","16","","","","97.29","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 07:00","2020","02","01","07:00","-3.4","","-3.8","","97","","0.0","","19","","18","","","","97.21","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 08:00","2020","02","01","08:00","-3.1","","-3.6","","97","","0.0","","20","","18","","","","97.18","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-02-01 09:00","2020","02","01","09:00","-2.6","","-3.0","","97","","0.0","","20","","20","","","","97.10","","","","-9","","NA"
