"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 00:00","2020","07","01","00:00","27.9","","14.1","","43","","0.0","","7","","4","","","","97.48","","31","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 01:00","2020","07","01","01:00","23.0","","16.3","","66","","0.0","","7","","4","","","","97.48","","28","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 02:00","2020","07","01","02:00","21.6","","16.3","","71","","0.0","","11","","6","","","","97.52","","26","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 03:00","2020","07","01","03:00","21.0","","16.3","","75","","0.0","","15","","7","","","","97.54","","26","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 04:00","2020","07","01","04:00","21.3","","16.7","","75","","0.0","","24","","9","","","","97.53","","26","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 05:00","2020","07","01","05:00","18.0","","16.1","","89","","0.0","","25","","4","","","","97.53","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 06:00","2020","07","01","06:00","17.3","","16.0","","92","","0.0","","7","","2","","","","97.50","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 07:00","2020","07","01","07:00","16.1","","15.0","","93","","0.0","","28","","5","","","","97.50","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 08:00","2020","07","01","08:00","16.4","","15.6","","95","","0.0","","32","","4","","","","97.51","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 09:00","2020","07","01","09:00","15.8","","14.0","","89","","0.0","","32","","7","","","","97.52","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2020-07-01 10:00","2020","07","01","10:00","16.9","","15.9","","94","","0.0","","31","","8","","","","97.55","","","","","","NA"
