"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 00:00","2021","08","01","00:00","13.6","","12.6","","94","","0.0","","9","","6","","","","97.09","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 01:00","2021","08","01","01:00","13.5","","12.6","","94","","0.0","","15","","3","","","","97.10","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 02:00","2021","08","01","02:00","13.3","","12.6","","96","","0.0","","11","","5","","","","97.11","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 03:00","2021","08","01","03:00","13.1","","12.6","","97","","0.0","","16","","7","","","","97.10","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 04:00","2021","08","01","04:00","13.1","","12.7","","97","","0.0","","14","","3","","","","97.08","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 05:00","2021","08","01","05:00","13.2","","12.8","","98","","0.0","","","","0","","","","97.05","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 06:00","2021","08","01","06:00","12.7","","12.4","","98","","0.0","","3","","3","","","","97.04","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 07:00","2021","08","01","07:00","12.8","","12.6","","98","","0.0","","35","","4","","","","97.02","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 08:00","2021","08","01","08:00","12.9","","12.5","","97","","0.0","","36","","2","","","","97.01","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 09:00","2021","08","01","09:00","12.8","","12.4","","98","","0.0","","2","","4","","","","97.03","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 10:00","2021","08","01","10:00","13.1","","12.6","","97","","0.0","","5","","9","","","","97.06","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 11:00","2021","08","01","11:00","13.3","","12.3","","93","","0.0","","4","","10","","","","97.11","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 12:00","2021","08","01","12:00","13.5","","12.5","","94","","0.0","","4","","11","","","","97.17","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 13:00","2021","08","01","13:00","14.1","","12.1","","88","","0.0","","4","","15","","","","97.19","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 14:00","2021","08","01","14:00","16.2","","12.5","","78","","0.0","","3","","19","","","","97.23","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-08-01 15:00","2021","08","01","15:00","17.2","","11.0","","67","","0.0","","3","","19","","","","97.28","","","","","","NA"
