"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 00:00","2021","12","01","00:00","-0.7","","-0.9","","99","","0.1","","28","","7","","","","96.34","","","","-3","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 01:00","2021","12","01","01:00","-1.2","","-1.4","","99","","0.0","","29","","9","","","","96.46","","","","-4","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 02:00","2021","12","01","02:00","-1.1","","-3.5","","83","","0.0","","33","","15","","","","96.55","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 03:00","2021","12","01","03:00","-2.5","","-6.1","","76","","0.0","","34","","16","","","","96.70","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 04:00","2021","12","01","04:00","-3.0","","-6.5","","77","","0.0","","32","","16","","","","96.81","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 05:00","2021","12","01","05:00","-4.9","","-12.3","","56","","0.0","","33","","21","","","","96.93","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 06:00","2021","12","01","06:00","-6.3","","-11.5","","67","","0.0","","33","","12","","","","97.02","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 07:00","2021","12","01","07:00","-7.1","","-11.5","","71","","0.0","","31","","7","","","","97.13","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 08:00","2021","12","01","08:00","-7.6","","-11.3","","74","","0.0","","26","","6","","","","97.21","","","","-11","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 09:00","2021","12","01","09:00","-8.9","","-11.5","","81","","0.0","","23","","6","","","","97.26","","","","-12","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 10:00","2021","12","01","10:00","-9.7","","-11.9","","84","","0.0","","23","","5","","","","97.28","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 11:00","2021","12","01","11:00","-10.3","","-12.0","","87","","0.0","","23","","6","","","","97.33","","","","-14","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 12:00","2021","12","01","12:00","-11.1","","-12.5","","89","","0.0","","22","","8","","","","97.35","","","","-16","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 13:00","2021","12","01","13:00","-9.6","","-10.7","","91","","0.0","","25","","9","","","","97.40","","","","-14","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 14:00","2021","12","01","14:00","-9.2","","-11.0","","87","","0.0","","27","","2","","","","97.43","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 15:00","2021","12","01","15:00","-7.1","","-10.5","","77","","0.0","","29","","4","","","","97.47","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 16:00","2021","12","01","16:00","-6.4","","-10.4","","73","","0.0","","18","","3","","","","97.41","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 17:00","2021","12","01","17:00","-5.5","","-9.2","","76","","0.0","","17","","8","","","","97.31","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 18:00","2021","12","01","18:00","-5.0","","-8.9","","74","","0.0","","19","","11","","","","97.27","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 19:00","2021","12","01","19:00","-4.6","","-8.4","","75","","0.0","","15","","13","","","","97.17","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 20:00","2021","12","01","20:00","-4.4","","-6.9","","82","","0.0","","15","","18","","","","97.03","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 21:00","2021","12","01","21:00","-4.3","","-6.1","","87","","0.0","","14","","18","","","","96.95","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 22:00","2021","12","01","22:00","-4.0","","-4.9","","93","","0.0","","15","","16","","","","96.85","","","","-10","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-01 23:00","2021","12","01","23:00","-3.2","","-3.6","","97","","0.1","","16","","18","","","","96.74","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-02 00:00","2021","12","02","00:00","-2.3","","-2.6","","98","","0.2","","16","","19","","","","96.58","","","","-8","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-02 01:00","2021","12","02","01:00","-1.3","","-1.5","","99","","0.6","","17","","22","","","","96.39","","","","-7","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-02 02:00","2021","12","02","02:00","0.2","","-0.3","","96","","0.4","","18","","35","","","","96.26","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-02 03:00","2021","12","02","03:00","0.1","","-0.2","","98","","0.2","","18","","30","","","","96.10","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-02 04:00","2021","12","02","04:00","0.3","","0.1","","99","","0.4","","18","","29","","","","95.93","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-02 05:00","2021","12","02","05:00","0.4","","0.3","","99","","0.1","","17","","25","","","","95.73","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-12-02 06:00","2021","12","02","06:00","1.7","","1.7","","99","","0.8","","18","","33","","","","95.55","","","","","","NA"
