"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 00:00","2021","11","01","00:00","7.8","","2.7","","70","","0.0","","32","","11","","","","96.06","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 01:00","2021","11","01","01:00","5.6","","3.5","","87","","0.0","","30","","18","","","","96.20","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 02:00","2021","11","01","02:00","3.7","","2.6","","93","","0.8","","30","","11","","","","96.33","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 03:00","2021","11","01","03:00","3.4","","1.7","","89","","0.3","","30","","14","","","","96.41","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 04:00","2021","11","01","04:00","2.8","","0.4","","84","","0.0","","30","","16","","","","96.47","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 05:00","2021","11","01","05:00","2.1","","-0.3","","84","","0.0","","29","","14","","","","96.54","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 06:00","2021","11","01","06:00","1.3","","-1.4","","82","","0.0","","29","","11","","","","96.60","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 07:00","2021","11","01","07:00","1.0","","-1.4","","84","","0.0","","27","","9","","","","96.64","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 08:00","2021","11","01","08:00","0.9","","-1.2","","86","","0.0","","26","","15","","","","96.71","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 09:00","2021","11","01","09:00","0.5","","-1.4","","87","","0.0","","27","","11","","","","96.77","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 10:00","2021","11","01","10:00","0.1","","-1.6","","88","","0.0","","27","","13","","","","96.85","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-11-01 11:00","2021","11","01","11:00","0.0","","-1.8","","88","","0.0","","27","","14","","","","96.91","","","","-4","","NA"
