"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 00:00","2021","06","01","00:00","17.2","","5.1","","45","","0.0","","23","","22","","","","97.84","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 01:00","2021","06","01","01:00","15.4","","6.1","","54","","0.0","","24","","17","","","","97.86","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 02:00","2021","06","01","02:00","14.3","","4.6","","52","","0.0","","24","","18","","","","97.89","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 03:00","2021","06","01","03:00","12.6","","3.8","","55","","0.0","","25","","9","","","","97.90","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 04:00","2021","06","01","04:00","10.2","","3.6","","64","","0.0","","24","","6","","","","97.88","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 05:00","2021","06","01","05:00","9.6","","3.3","","65","","0.0","","24","","8","","","","97.87","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 06:00","2021","06","01","06:00","9.4","","3.5","","67","","0.0","","24","","9","","","","97.86","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 07:00","2021","06","01","07:00","9.4","","3.8","","68","","0.0","","25","","8","","","","97.84","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 08:00","2021","06","01","08:00","8.4","","3.8","","73","","0.0","","23","","12","","","","97.85","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-06-01 09:00","2021","06","01","09:00","8.3","","4.1","","75","","0.0","","25","","8","","","","97.85","","","","","","NA"
