"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 00:00","2021","03","01","00:00","1.4","","0.8","","95","","1.7","","16","","27","","","","95.65","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 01:00","2021","03","01","01:00","1.6","","1.3","","98","","0.7","","18","","33","","","","95.49","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 02:00","2021","03","01","02:00","2.5","","2.2","","98","","0.4","","21","","38","","","","95.40","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 03:00","2021","03","01","03:00","3.2","","2.8","","97","","0.2","","22","","36","","","","95.32","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 04:00","2021","03","01","04:00","2.8","","1.0","","88","","0.2","","25","","34","","","","95.30","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 05:00","2021","03","01","05:00","1.8","","0.4","","90","","0.0","","25","","25","","","","95.36","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 06:00","2021","03","01","06:00","1.6","","0.1","","90","","0.0","","25","","16","","","","95.47","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 07:00","2021","03","01","07:00","0.4","","-3.2","","77","","0.0","","31","","24","","","","95.65","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 08:00","2021","03","01","08:00","-2.3","","-6.6","","73","","0.0","","31","","23","","","","95.85","","","","-9","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 09:00","2021","03","01","09:00","-5.8","","-9.7","","74","","0.0","","32","","20","","","","96.06","","","","-13","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 10:00","2021","03","01","10:00","-7.9","","-13.2","","66","","0.0","","33","","25","","","","96.26","","","","-16","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 11:00","2021","03","01","11:00","-9.2","","-14.2","","67","","0.0","","32","","22","","","","96.42","","","","-17","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 12:00","2021","03","01","12:00","-10.4","","-16.1","","63","","0.0","","31","","22","","","","96.59","","","","-19","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 13:00","2021","03","01","13:00","-11.5","","-18.9","","54","","0.0","","32","","18","","","","96.73","","","","-19","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 14:00","2021","03","01","14:00","-11.5","","-18.9","","54","","0.0","","35","","13","","","","96.75","","","","-18","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 15:00","2021","03","01","15:00","-10.9","","-18.3","","55","","0.0","","32","","13","","","","96.79","","","","-17","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 16:00","2021","03","01","16:00","-11.7","","-17.6","","61","","0.0","","34","","17","","","","96.85","","","","-19","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 17:00","2021","03","01","17:00","-12.2","","-17.6","","64","","0.0","","34","","18","","","","96.88","","","","-20","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 18:00","2021","03","01","18:00","-12.7","","-20.9","","50","","0.0","","33","","22","","","","96.92","","","","-22","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 19:00","2021","03","01","19:00","-13.9","","-21.6","","52","","0.0","","35","","24","","","","97.02","","","","-24","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-03-01 20:00","2021","03","01","20:00","-14.0","","-22.6","","48","","0.0","","32","","21","","","","97.12","","","","-23","","NA"
