"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 00:00","2021","05","01","00:00","4.8","","-7.8","","39","","0.0","","35","","21","","","","97.20","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 01:00","2021","05","01","01:00","2.9","","-6.6","","50","","0.0","","36","","16","","","","97.29","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 02:00","2021","05","01","02:00","1.2","","-6.3","","57","","0.0","","1","","15","","","","97.38","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 03:00","2021","05","01","03:00","-0.2","","-6.5","","62","","0.0","","1","","11","","","","97.41","","","","-4","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 04:00","2021","05","01","04:00","-1.0","","-6.3","","67","","0.0","","36","","11","","","","97.47","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 05:00","2021","05","01","05:00","-1.5","","-6.5","","69","","0.0","","36","","10","","","","97.51","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 06:00","2021","05","01","06:00","-2.3","","-6.7","","72","","0.0","","36","","6","","","","97.51","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 07:00","2021","05","01","07:00","-4.3","","-7.3","","80","","0.0","","34","","3","","","","97.51","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 08:00","2021","05","01","08:00","-3.9","","-6.2","","84","","0.0","","30","","4","","","","97.51","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 09:00","2021","05","01","09:00","-4.0","","-6.4","","83","","0.0","","23","","6","","","","97.50","","","","-7","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 10:00","2021","05","01","10:00","-4.9","","-6.7","","87","","0.0","","18","","3","","","","97.46","","","","-6","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 11:00","2021","05","01","11:00","-2.3","","-4.9","","82","","0.0","","18","","7","","","","97.44","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 12:00","2021","05","01","12:00","-1.4","","-5.7","","73","","0.0","","17","","19","","","","97.36","","","","-7","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 13:00","2021","05","01","13:00","0.0","","-5.8","","65","","0.0","","18","","19","","","","97.33","","","","-5","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 14:00","2021","05","01","14:00","2.3","","-4.9","","59","","0.0","","20","","26","","","","97.24","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 15:00","2021","05","01","15:00","4.6","","-3.9","","54","","0.0","","20","","33","","","","97.10","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 16:00","2021","05","01","16:00","6.5","","-3.7","","48","","0.0","","21","","34","","","","97.00","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 17:00","2021","05","01","17:00","5.5","","-2.3","","57","","0.0","","22","","32","","","","96.88","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 18:00","2021","05","01","18:00","4.9","","-1.0","","66","","0.0","","21","","31","","","","96.68","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 19:00","2021","05","01","19:00","3.9","","-0.7","","72","","0.0","","21","","31","","","","96.50","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 20:00","2021","05","01","20:00","4.0","","-2.4","","63","","0.0","","21","","34","","","","96.39","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 21:00","2021","05","01","21:00","4.9","","-2.5","","58","","0.1","","20","","30","","","","96.24","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 22:00","2021","05","01","22:00","5.3","","-3.1","","55","","0.0","","21","","22","","","","96.23","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-01 23:00","2021","05","01","23:00","5.1","","-1.8","","61","","0.0","","20","","16","","","","96.15","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 00:00","2021","05","02","00:00","5.1","","-1.0","","64","","0.0","","19","","15","","","","96.09","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 01:00","2021","05","02","01:00","4.6","","-0.4","","70","","0.0","","19","","14","","","","96.03","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 02:00","2021","05","02","02:00","3.7","","-0.3","","75","","0.0","","18","","13","","","","95.98","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 03:00","2021","05","02","03:00","2.0","","-0.7","","82","","0.0","","19","","11","","","","96.03","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 04:00","2021","05","02","04:00","1.0","","-1.1","","86","","0.0","","21","","12","","","","96.04","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 05:00","2021","05","02","05:00","1.7","","-0.5","","86","","0.0","","28","","5","","","","96.05","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 06:00","2021","05","02","06:00","-0.7","","-2.0","","91","","0.0","","26","","3","","","","96.09","","","","-2","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 07:00","2021","05","02","07:00","1.9","","-0.8","","83","","0.0","","32","","6","","","","96.12","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 08:00","2021","05","02","08:00","0.8","","-1.3","","86","","0.0","","30","","6","","","","96.23","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 09:00","2021","05","02","09:00","2.6","","0.2","","84","","0.0","","1","","8","","","","96.24","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 10:00","2021","05","02","10:00","2.2","","0.4","","88","","0.0","","36","","6","","","","96.34","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 11:00","2021","05","02","11:00","2.7","","1.1","","89","","0.0","","3","","16","","","","96.36","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 12:00","2021","05","02","12:00","3.3","","1.3","","87","","0.0","","1","","11","","","","96.48","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 13:00","2021","05","02","13:00","4.0","","1.1","","81","","0.0","","1","","14","","","","96.56","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 14:00","2021","05","02","14:00","4.9","","1.4","","78","","0.0","","3","","15","","","","96.63","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 15:00","2021","05","02","15:00","5.8","","0.9","","71","","0.0","","2","","16","","","","96.63","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 16:00","2021","05","02","16:00","7.6","","0.9","","63","","0.0","","5","","20","","","","96.62","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 17:00","2021","05","02","17:00","9.4","","1.1","","56","","0.0","","6","","14","","","","96.63","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 18:00","2021","05","02","18:00","11.3","","2.1","","53","","0.0","","4","","13","","","","96.65","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 19:00","2021","05","02","19:00","12.5","","1.8","","48","","0.0","","8","","6","","","","96.66","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 20:00","2021","05","02","20:00","13.3","","1.0","","43","","0.0","","5","","7","","","","96.65","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 21:00","2021","05","02","21:00","14.0","","1.3","","42","","0.0","","6","","10","","","","96.70","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 22:00","2021","05","02","22:00","14.2","","2.2","","44","","0.0","","4","","9","","","","96.74","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-02 23:00","2021","05","02","23:00","13.6","","1.8","","45","","0.0","","5","","10","","","","96.73","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-03 00:00","2021","05","03","00:00","12.5","","2.7","","51","","0.0","","6","","6","","","","96.74","","","","","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-05-03 01:00","2021","05","03","01:00","10.8","","2.5","","56","","0.0","","5","","15","","","","96.78","","","","","","NA"
