"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 00:00","2021","02","01","00:00","-14.6","","-19.4","","67","","0.0","","4","","16","","","","98.21","","","","-23","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 01:00","2021","02","01","01:00","-15.8","","-20.2","","68","","0.0","","3","","20","","","","98.22","","","","-25","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 02:00","2021","02","01","02:00","-16.3","","-20.3","","71","","0.0","","4","","21","","","","98.20","","","","-26","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 03:00","2021","02","01","03:00","-16.9","","-20.4","","74","","0.0","","4","","19","","","","98.18","","","","-26","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 04:00","2021","02","01","04:00","-17.3","","-20.7","","75","","0.0","","4","","16","","","","98.17","","","","-26","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 05:00","2021","02","01","05:00","-17.9","","-20.8","","78","","0.0","","4","","13","","","","98.16","","","","-26","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 06:00","2021","02","01","06:00","-18.0","","-20.6","","80","","0.0","","4","","13","","","","98.14","","","","-26","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 07:00","2021","02","01","07:00","-18.3","","-20.7","","81","","0.0","","4","","14","","","","98.13","","","","-27","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 08:00","2021","02","01","08:00","-18.4","","-20.8","","81","","0.0","","4","","14","","","","98.11","","","","-27","","NA"
"-80.80","46.63","SUDBURY CLIMATE","6068145","2021-02-01 09:00","2021","02","01","09:00","-18.2","","-20.7","","81","","0.0","","3","","14","","","","98.10","","","","-27","","NA"
